,thermalZone.TAir,totalHeatingPower.y
0,293.15,2498.569637453121
1,293.217233333439,4997.139274906242
2,295.09084251031436,7495.708912359363
3,297.13643454492575,9994.278549812483
4,299.23352074752364,12492.848187265603
5,301.3713658218102,12492.848187265603
6,301.6386192441771,12492.848187265603
7,301.75956931363345,12492.848187265603
8,301.85723735877224,12492.848187265603
9,301.9417924549243,12492.848187265603
10,302.0172723199882,12492.848187265603
11,302.0851843313867,12492.848187265603
12,302.1460201200976,12492.848187265603
13,302.2007157804872,12492.848187265603
14,302.2501477351584,12492.848187265603
15,302.2947047038077,12492.848187265603
16,302.3346022688751,12492.848187265603
17,302.36988615229785,12492.848187265603
18,302.4012289688971,12492.848187265603
19,302.4296185443645,12492.848187265603
20,302.45635257080914,12492.848187265603
21,302.48235845857704,12492.848187265603
22,302.5075904702914,12492.848187265603
23,302.53144934842607,12492.848187265603
24,302.5531911654001,12492.848187265603
25,302.57273667932213,12492.848187265603
26,302.59090178110534,12492.848187265603
27,302.6082022287678,12492.848187265603
28,302.6246968179995,12492.848187265603
29,302.640448114071,12492.848187265603
30,302.65559744939173,12492.848187265603
31,302.67022370561426,12492.848187265603
32,302.6849941299107,12492.848187265603
33,302.7012873382485,12492.848187265603
34,302.7205959481175,12492.848187265603
35,302.744590597085,12492.848187265603
36,302.7723409425167,12492.848187265603
37,302.8049939215959,12492.848187265603
38,302.8432041597879,12492.848187265603
39,302.8843746831017,12492.848187265603
40,302.92564933463194,12492.848187265603
41,302.9648930909772,12492.848187265603
42,303.0030828994978,12492.848187265603
43,303.0397058077274,12492.848187265603
44,303.07358754014933,12492.848187265603
45,303.108505270315,12492.848187265603
46,303.14848421113373,12492.848187265603
47,303.2071566062571,9994.278549812483
48,301.3949952661221,7495.708912359361
49,299.4167130899296,4997.13927490624
50,297.3716792084804,2498.56963745312
51,295.2541085725724,0.0
52,293.08838033837424,0.0
53,292.79005206890787,0.0
54,292.63297540521836,0.0
55,292.49053573290433,0.0
56,292.3517530080291,0.0
57,292.216221928384,0.0
58,292.0858467654873,0.0
59,291.9752197603112,0.0
60,291.92388321393616,0.0
61,291.8977774460042,0.0
62,291.8394813006236,0.0
63,291.7287800376015,0.0
64,291.55028055184636,0.0
65,291.334991011718,0.0
66,291.1275917752869,0.0
67,290.9692109424774,0.0
68,290.839183355123,0.0
69,290.73660086707304,0.0
70,290.64153384325186,0.0
71,290.54928430033436,0.0
72,290.4590534788092,0.0
73,290.37077316589415,0.0
74,290.28460736107513,0.0
75,290.1995789027921,0.0
76,290.1146631638132,0.0
77,290.02186624988025,0.0
78,289.9101057599367,0.0
79,289.789969880516,0.0
80,289.6767666279935,0.0
81,289.5786958628801,0.0
82,289.48669013410245,0.0
83,289.39930862998074,0.0
84,289.3176661385424,0.0
85,289.2412382471008,0.0
86,289.166717005569,0.0
87,289.0937061715698,0.0
88,289.022564913224,0.0
89,288.95373389928244,0.0
90,288.88668314929527,1784.6925981808004
91,290.18143231660014,3569.3851963616007
92,291.60224242929246,5354.077794542401
93,293.05643286772937,7138.770392723201
94,294.53530459051444,8923.462990904001
95,296.03735095961406,10708.155589084801
96,297.5616825401087,12492.848187265603
97,299.1069111495944,12492.848187265603
98,299.3109000688142,12492.848187265603
99,299.407241905053,12492.848187265603
100,299.487466559416,12492.848187265603
101,299.5635918360993,12492.848187265603
102,299.64321875275397,12492.848187265603
103,299.72236379086695,12492.848187265603
104,299.79452998321074,12492.848187265603
105,299.852773029971,12492.848187265603
106,299.89684068695703,12492.848187265603
107,299.93507345798736,12492.848187265603
108,299.977193412547,12492.848187265603
109,300.03117998562516,12492.848187265603
110,300.0946954399679,12492.848187265603
111,300.16101389357254,12492.848187265603
112,300.22278568878164,12492.848187265603
113,300.27660363904647,12492.848187265603
114,300.3271214742953,12492.848187265603
115,300.3745248869362,12492.848187265603
116,300.4173732077312,12492.848187265603
117,300.4542939042148,12492.848187265603
118,300.48609268345194,12492.848187265603
119,300.5157515158051,12492.848187265603
120,300.5468603534815,12492.848187265603
121,300.58174364845087,12492.848187265603
122,300.619143404435,12492.848187265603
123,300.6571851239524,12492.848187265603
124,300.6941954917324,12492.848187265603
125,300.72658177854925,12492.848187265603
126,300.75223516196246,12492.848187265603
127,300.77863337780224,12492.848187265603
128,300.81605296366365,12492.848187265603
129,300.8675307812279,12492.848187265603
130,300.92409137298984,12492.848187265603
131,300.98806338572484,12492.848187265603
132,301.06803436771366,10708.155589084803
133,299.8022294721755,8923.462990904003
134,298.40527146012636,7138.770392723201
135,296.9508515015205,5354.0777945424015
136,295.4464823016418,3569.385196361602
137,293.9115687478745,1784.692598180801
138,292.3587517287519,0.0
139,290.8127295394524,0.0
140,290.65751640455943,0.0
141,290.63978784490166,0.0
142,290.6294406986137,0.0
143,290.5962231930831,0.0
144,290.5585422333222,0.0
145,290.519170769832,0.0
146,290.4814064970454,0.0
147,290.44301647553624,0.0
148,290.40098878647774,0.0
149,290.3508666324842,0.0
150,290.29153057650444,0.0
151,290.22449655581283,0.0
152,290.15422078320347,0.0
153,290.0842656161687,0.0
154,290.014131498829,0.0
155,289.9424154203801,0.0
156,289.86566876086965,0.0
157,289.7866635679432,0.0
158,289.70922071565536,0.0
159,289.6360339267622,0.0
160,289.5633970340737,0.0
161,289.4863082021237,0.0
162,289.4052126730688,0.0
163,289.3262390567542,0.0
164,289.25205327343974,0.0
165,289.1853696297281,0.0
166,289.1215449224653,0.0
167,289.05984716063205,0.0
168,289.0006983516433,0.0
169,288.945133408046,0.0
170,288.89335748299544,0.0
171,288.84353193868344,0.0
172,288.7933178529753,0.0
173,288.7370890139842,0.0
174,288.67082311185254,0.0
175,288.60562749035364,0.0
176,288.555155071876,0.0
177,288.52485905984463,0.0
178,288.4994232266002,0.0
179,288.475205049018,0.0
180,288.45196989690845,0.0
181,288.4297232191028,0.0
182,288.4083664194583,0.0
183,288.38787041205535,0.0
184,288.3682334196196,0.0
185,288.34665994754613,0.0
186,288.3182502148024,6246.4240936328015
187,293.04940438590125,12492.848187265603
188,298.22306907119594,12492.848187265603
189,298.75517178900515,12492.848187265603
190,298.93423046383884,12492.848187265603
191,299.07381408878206,12492.848187265603
192,299.1990748517352,12492.848187265603
193,299.31359637849465,12492.848187265603
194,299.4184831419247,12492.848187265603
195,299.51544682075127,12492.848187265603
196,299.60627134117294,12492.848187265603
197,299.69507161168315,12492.848187265603
198,299.78579913556587,12492.848187265603
199,299.872798083955,12492.848187265603
200,299.9483243904477,12492.848187265603
201,300.0072196946896,12492.848187265603
202,300.05366038680904,12492.848187265603
203,300.09196528232457,12492.848187265603
204,300.12607384564564,12492.848187265603
205,300.1554723450464,12492.848187265603
206,300.1762006518452,12492.848187265603
207,300.19623366830757,12492.848187265603
208,300.22616770270133,12492.848187265603
209,300.2728113522414,12492.848187265603
210,300.3295518609661,12492.848187265603
211,300.3910588506902,12492.848187265603
212,300.45293076572284,12492.848187265603
213,300.5128580539132,12492.848187265603
214,300.5728240028129,6246.4240936328015
215,295.86824435885114,0.0
216,290.72001731014626,0.0
217,290.2040423368965,0.0
218,290.0151702144292,0.0
219,289.8541676378377,0.0
220,289.71460213766835,0.0
221,289.60826880454425,0.0
222,289.52707204323065,0.0
223,289.46091972352866,0.0
224,289.4028201316618,0.0
225,289.3552130893219,0.0
226,289.2871288121912,0.0
227,289.30174086441923,0.0
228,289.54494909047,0.0
229,289.8172462322722,0.0
230,289.98800720678645,0.0
231,290.03094731148406,0.0
232,290.02394347754574,0.0
233,290.03622443542963,0.0
234,290.020494589676,0.0
235,289.9998315549827,0.0
236,289.99654074891964,0.0
237,289.99838560069907,0.0
238,290.0166723463938,0.0
239,290.0566287872122,0.0
240,290.1090285333247,0.0
241,290.1750190793724,0.0
242,290.3078870070906,0.0
243,290.4231690334173,0.0
244,290.51169835406535,0.0
245,290.6121585616565,0.0
246,290.69601077966877,0.0
247,290.7818419012201,0.0
248,290.8335699257808,0.0
249,290.8418326103628,0.0
250,290.8027473952353,0.0
251,290.7064222262298,0.0
252,290.55079609795695,0.0
253,290.3234261261614,0.0
254,290.107951554929,0.0
255,289.8749209892729,6246.4240936328015
256,294.315089218619,12492.848187265603
257,299.2128043342073,12492.848187265603
258,299.54331421869597,12492.848187265603
259,299.6239633261698,12492.848187265603
260,299.6884826252201,12492.848187265603
261,299.75097070516983,12492.848187265603
262,299.82161696646403,12492.848187265603
263,299.89761097957904,12492.848187265603
264,299.97280741331247,12492.848187265603
265,300.04492612257576,12492.848187265603
266,300.1164913443665,12492.848187265603
267,300.18446995624817,12492.848187265603
268,300.2441316919901,12492.848187265603
269,300.2937957413245,12492.848187265603
270,300.33902224820224,12492.848187265603
271,300.3813477408382,12492.848187265603
272,300.42112446510663,12492.848187265603
273,300.45818564282877,12492.848187265603
274,300.4925768727808,12492.848187265603
275,300.52529182354044,12492.848187265603
276,300.5574559584736,12492.848187265603
277,300.59103156214184,12492.848187265603
278,300.6273899768194,12492.848187265603
279,300.6650513654837,12492.848187265603
280,300.70185794778365,12492.848187265603
281,300.7365474230013,12492.848187265603
282,300.7700209596974,12492.848187265603
283,300.80267180877536,12492.848187265603
284,300.8345754067686,12492.848187265603
285,300.8662428753337,12492.848187265603
286,300.8984171998028,12492.848187265603
287,300.93073956150465,12492.848187265603
288,300.96249822256186,12492.848187265603
289,300.9921768161586,12492.848187265603
290,301.0185815577838,12492.848187265603
291,301.0434993178787,12492.848187265603
292,301.0695305489271,12492.848187265603
293,301.10533800941363,12492.848187265603
294,301.1604240790932,12492.848187265603
295,301.2229107213981,12492.848187265603
296,301.2762092418951,12492.848187265603
297,301.3122528628725,12492.848187265603
298,301.3435293498743,12492.848187265603
299,301.3737889868968,12492.848187265603
300,301.40426656934255,12492.848187265603
301,301.43521746802634,12492.848187265603
302,301.46613869503386,12492.848187265603
303,301.49756958045043,12492.848187265603
304,301.5303375108863,6246.4240936328015
305,296.8039373726846,0.0
306,291.6454182328603,0.0
307,291.136489388914,0.0
308,290.9796597327887,0.0
309,290.85773825856484,0.0
310,290.7487998697575,0.0
311,290.6476503705066,0.0
312,290.55026618929935,0.0
313,290.4536113568483,0.0
314,290.35898606832774,0.0
315,290.26789777127885,0.0
316,290.1815986908148,0.0
317,290.1016643487385,0.0
318,290.02807017343633,0.0
319,289.95924823377067,0.0
320,289.89377209484064,0.0
321,289.81523480251116,0.0
322,289.7010383572163,0.0
323,289.57359960159505,0.0
324,289.46780058910645,0.0
325,289.4011112141951,0.0
326,289.35201830978656,0.0
327,289.3495293678318,0.0
328,289.4681468641952,0.0
329,289.61942984441316,0.0
330,289.79379003000486,0.0
331,289.8852393226565,0.0
332,289.941045974613,0.0
